File Name,D:\我的库\desktop\81.txt
Start Date,29 五月 2016
Start Time,10:14:06

Sample #,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16  bit),X_ACCL (16  bit),Y_ACCL (16  bit),Z_ACCL (16  bit),X_MAGN (16 bit),Y_MAGN (16 bit),Z_MAGN (16 bit),ROLL _C23_OUT,PITCH_C31_OUT,YAW_C32_OUT
106,-0.0600,-0.1800,-0.2000,-0.0064,-0.0168,0.9936,-29.5000,-254.4000,-203.7000,-0.8075,0.3955,154.9423
107,-0.0400,-0.2000,-0.1200,-0.0072,-0.0144,0.9944,-29.6000,-254.1000,-204.3000,-0.8075,0.3955,154.9423
108,0.1000,0.0800,-0.1200,-0.0064,-0.0128,0.9936,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9423
109,0.0800,0.0000,-0.1600,-0.0064,-0.0144,0.9936,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9423
110,0.0000,-0.1000,-0.2400,-0.0080,-0.0144,0.9912,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9423
111,-0.0800,-0.2400,-0.4800,-0.0056,-0.0136,0.9920,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9423
112,-0.1600,-0.0200,-0.1200,-0.0072,-0.0144,0.9936,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9423
113,-0.0200,-0.1400,-0.2200,-0.0064,-0.0160,0.9944,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9423
114,-0.1800,-0.1200,-0.1600,-0.0064,-0.0144,0.9944,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9368
115,-0.0200,0.2200,-0.0200,-0.0064,-0.0128,0.9960,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9368
116,0.0200,0.1600,0.0200,-0.0056,-0.0136,0.9960,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9368
117,0.0800,-0.0600,-0.3200,-0.0064,-0.0120,0.9952,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9368
118,0.0000,-0.1400,-0.0400,-0.0064,-0.0136,0.9944,-29.8000,-253.8000,-205.0000,-0.8075,0.3955,154.9368
119,-0.2200,0.0800,0.0800,-0.0064,-0.0144,0.9968,-29.5000,-253.8000,-204.5000,-0.8075,0.3955,154.9368
120,-0.1800,0.0800,-0.1800,-0.0056,-0.0152,0.9960,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9368
121,-0.1600,0.0600,0.0400,-0.0064,-0.0160,0.9984,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9368
122,-0.1400,0.1000,-0.1400,-0.0064,-0.0144,0.9992,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9368
123,0.0800,0.0000,-0.1600,-0.0040,-0.0144,0.9992,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9368
124,-0.0800,-0.0600,-0.0400,-0.0040,-0.0152,0.9984,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9423
125,-0.0800,-0.2400,-0.1600,-0.0064,-0.0144,0.9992,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9423
126,0.0400,-0.1000,-0.0800,-0.0096,-0.0144,0.9976,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9423
127,0.1400,-0.1600,-0.1400,-0.0064,-0.0168,0.9960,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9423
128,0.1600,-0.0800,0.0000,-0.0048,-0.0136,0.9936,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9368
129,0.0600,-0.1600,-0.1600,-0.0096,-0.0144,0.9912,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9368
130,0.1400,0.0600,-0.0600,-0.0064,-0.0144,0.9960,-29.3000,-253.8000,-203.9000,-0.8075,0.3955,154.9368
131,0.0400,-0.1200,-0.1600,-0.0048,-0.0136,0.9968,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
132,-0.4200,0.2600,-0.2600,-0.0080,-0.0136,0.9976,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
133,-0.0400,0.0000,-0.0200,-0.0064,-0.0128,0.9952,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
134,-0.1400,-0.0600,-0.2000,-0.0072,-0.0128,0.9928,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
135,-0.1600,0.0800,-0.3000,-0.0080,-0.0128,0.9936,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
136,-0.1600,0.1400,-0.0400,-0.0096,-0.0136,0.9968,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
137,-0.1600,0.2000,-0.1600,-0.0080,-0.0136,0.9944,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
138,-0.0800,-0.0600,-0.2000,-0.0056,-0.0112,0.9944,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
139,-0.0200,-0.1600,-0.1200,-0.0072,-0.0144,0.9928,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
140,0.0000,-0.1600,-0.0600,-0.0072,-0.0152,0.9960,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
141,0.1000,-0.1600,0.0000,-0.0064,-0.0168,0.9952,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
142,0.2600,0.0200,0.0400,-0.0056,-0.0144,0.9968,-29.9000,-253.9000,-204.5000,-0.8075,0.3955,154.9368
143,-0.1600,0.0200,-0.0400,-0.0056,-0.0160,0.9968,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
144,-0.0800,-0.1200,-0.2600,-0.0080,-0.0160,0.9976,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
145,-0.0200,0.0800,-0.2000,-0.0072,-0.0144,0.9968,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
146,0.0200,0.1600,-0.1000,-0.0072,-0.0160,0.9936,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
147,0.1400,-0.0600,0.0400,-0.0056,-0.0136,0.9960,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
148,-0.0800,-0.0600,-0.0600,-0.0056,-0.0136,0.9968,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
149,-0.1000,-0.1600,0.0600,-0.0072,-0.0136,0.9968,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
150,0.2400,-0.0800,-0.1600,-0.0072,-0.0152,0.9992,-29.2000,-252.9000,-205.0000,-0.8075,0.3955,154.9368
